panel,subset,method,n,n_networks,pooled_spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,network_mean_only_pooled,netmean_pred_only_pooled
second,direct_874,empirical,874,57,0.9453454523265827,0.8049001814882034,0.13832261354048767,0.9383308686836279,0.8132326629922993,0.4553482313539534,0.3257033427953977,0.28361104322795005
second,direct_874,r6,874,57,0.9423871811425271,0.7632227119522946,0.16699005066716022,0.9235488385105985,0.7893171425417872,0.48362393992916336,0.3257033427953977,0.2807377269226223
second,direct_874,simple,874,57,0.8458749473414598,0.2475369458128079,-0.046502461201509686,1.1570660942067008,0.6477252800223126,0.625365516479053,0.3257033427953977,0.0598504010962261
second,direct_874,surface,874,57,0.8979489243053846,0.6887477313974593,-0.18863840501702536,1.3257930459959986,0.6563141032941116,0.6176949436860687,0.3257033427953977,0.27192118977702046
second,all_1446,empirical,1446,57,0.7399228649476387,0.715452424163858,0.2862046930270103,0.9502513594290952,0.23847087348229312,1.3201109690332493,0.3091096074309754,0.30380326019541054
second,all_1446,r6,1446,57,0.735287931908787,0.7255639097744361,0.30774800640324496,0.9384671267038125,0.23145833920780579,1.3261751556557644,0.3091096074309754,0.3066144574137828
second,all_1446,simple,1446,57,0.8346255703753276,0.6046149857402127,-0.054772613286336765,1.1503174400140002,0.7564136389267573,0.7466097621559827,0.3091096074309754,0.11009623864490532
second,all_1446,surface,1446,57,0.8927996015324269,0.674358309567021,-0.5085233694256392,1.729725315404635,0.47526242056121437,1.095817581837708,0.3091096074309754,0.28011490872914013
first,direct_858,empirical,858,42,0.8254221357603908,0.8005023904059639,0.19951817398041174,0.8313246554502989,0.5591495592085052,0.5890446372763253,0.3495729045622242,0.2960488871270564
first,direct_858,r6,858,42,0.8249657489084111,0.7983955919293412,0.18973176016868548,0.8409550488393908,0.561289692740709,0.5876131224774016,0.3495729045622242,0.30103451551100907
first,direct_858,simple,858,42,0.791569096951193,0.4846446803338465,-0.07659359536937245,0.9041230928713916,0.519928307242866,0.6146892473598832,0.3495729045622242,0.1329825660625277
first,direct_858,surface,858,42,0.9103195732024556,0.8703508629770683,-0.18529723468833165,1.2308968272712846,0.7455905906041882,0.44747538634891837,0.3495729045622242,0.33831385208625103
first,all_1440,empirical,1440,42,0.6333593455063955,0.766631553358723,0.3937119898702944,0.8291303560017643,0.14463461952342083,1.1564160625447537,0.36066064276198717,0.29434571736908727
first,all_1440,r6,1440,42,0.6329509153090218,0.7792723442184588,0.3826696980761569,0.8399437628840142,0.14527655922978633,1.155982044090442,0.36066064276198717,0.2996525667896654
first,all_1440,simple,1440,42,0.8026646545450687,0.5625962239688842,0.01844162458067791,0.8062816531246824,0.6027006871557901,0.7881287817985497,0.36066064276198717,0.20041195127905984
first,all_1440,surface,1440,42,0.9079523896169549,0.8983874888582773,-0.450585766481736,1.5584428910084507,0.6794271580191722,0.7079484652574358,0.36066064276198717,0.36452641077700737
