Locatie_MessageID,Code,Coordinatenstelsel,Lat,Lon,Naam,Omschrijving
10603,4epetroleumhaven,ETRS89,51.953524,4.140491,4e Petroleumhaven,4e Petroleumhaven
17056,7epetroleumhaven,ETRS89,51.915615,4.21277,7e Petroleumhaven,7e Petroleumhaven
4998,aakvlaai.badstrand,ETRS89,51.723572,4.864773,"Aakvlaai, badstrand","Aakvlaai, badstrand"
10425,aalst.deneswaarden,ETRS89,51.785668,5.115173,"Aalst, De Neswaarden","Aalst, De Neswaarden"
10980,aalst.derietschoof.1,ETRS89,51.77674,5.125978,"Aalst, De Rietschoof, meetpunt 1",strand
13467,aasterberg,ETRS89,51.10176,5.834066,Aasterberg,monding van de Geleenbeek
1412,abbertstrand,ETRS89,52.51092,5.853608,Abbertstrand,Abbertstrand
16852,adelaarsweg,ETRS89,52.328631,5.423878,Adelaarsweg,Hoge Vaart
18207,alblasserdam,ETRS89,51.856606,4.656146,Alblasserdam,rechteroever nabij brug
13767,almeerderstrand,ETRS89,52.33544,5.138603,Almeerderstrand,Almeerderstrand
7620,almelo,ETRS89,52.35632,6.620117,Almelo,Almelo
4535,almerehaven.zwemstrand,ETRS89,52.332849,5.212678,"Almere-Haven, zwemstrand","Almere-Haven, zwemstrand"
13629,almere.lagevaart,ETRS89,52.398658,5.247623,"Almere, Lage Vaart","Almere, Lage Vaart"
14962,almere.triathlon.a,ETRS89,52.333802,5.200878,"Almere, triathlon, punt A","Almere, triathlon, punt A"
17941,almere.triathlon.b,ETRS89,52.329379,5.212075,"Almere, triathlon, punt B","Almere, triathlon, punt B"
4529,almere.triathlon.c,ETRS89,52.332949,5.219778,"Almere, triathlon, punt C","Almere, triathlon, punt C"
8851,amelanderzeegat.1.1,ETRS89,53.507601,5.481405,"Amelander zeegat, 1 .1",boei
18354,amelanderzeegat.1.2,ETRS89,53.507598,5.48442,"Amelander zeegat, 1 .2",boei
12056,amelanderzeegat.2.1,ETRS89,53.477304,5.573963,"Amelander zeegat, 2 .1",boei
8079,amelanderzeegat.3.1,ETRS89,53.450839,5.60365,"Amelander zeegat, 3 .1",boei
4456,amelanderzeegat.3.2,ETRS89,53.449939,5.604699,"Amelander zeegat, 3 .2",boei
17977,amelanderzeegat.4.1,ETRS89,53.421114,5.641855,"Amelander zeegat, 4 .1",boei
17646,amelanderzeegat.4.2,ETRS89,53.424273,5.635406,"Amelander zeegat, 4 .2",boei
16066,amelanderzeegat.5.2,ETRS89,53.393401,5.696857,"Amelander zeegat, 5 .2",boei
6200,ameland.nes,ETRS89,53.429766,5.759448,"Ameland, Nes","Ameland, Nes"
831,ameland.nes.badstrand,ETRS89,53.462079,5.778186,"Ameland, Nes, badstrand","Ameland, Nes, badstrand"
15136,amerikahaven.2,ETRS89,52.411987,4.774766,"Amerikahaven, 2","Amerikahaven, 2"
7320,amerikahaven.zuid,ETRS89,52.401564,4.77538,"Amerikahaven, zuid","Amerikahaven, zuid"
5326,amerongen.beneden,ETRS89,51.974,5.404,"Amerongen, beneden","Amerongen, beneden"
4597,amerongen.boven,ETRS89,51.9753,5.4125,"Amerongen, boven","Amerongen, boven"
16720,ammerstol.dehem.badstrand,ETRS89,51.941746,4.832526,"Ammerstol, De Hem, badstrand","Ammerstol, De Hem, badstrand"
8514,amsteldiep,ETRS89,52.929371,4.911323,Amsteldiep,Amsteldiep
7429,amsterdam.km25,ETRS89,52.380775,4.905707,"Amsterdam, km 25",IJtunnel
12635,amsterdam.ndsmwerf,ETRS89,52.399863,4.888014,"Amsterdam, NDSM werf","Amsterdam, NDSM werf"
14717,amsterdam.schellingwouderbrug,ETRS89,52.378673,4.967545,"Amsterdam, Schellingwouderbrug","Amsterdam, Schellingwouderbrug"
11801,andijk,ETRS89,52.7503,5.265049,Andijk,"voorheen IJsselmeer, meetpaal 38"
9647,andijk.ijsselmeer,ETRS89,52.750524,5.265018,Andijk IJsselmeer,Andijk IJsselmeer
18023,antwerpskanaalpand.km2,ETRS89,51.38782,4.245773,"Antwerps Kanaalpand, kilometer 02","Antwerps Kanaalpand, kilometer 02"
10606,appelzak.1kmuitdekust,ETRS89,51.380221,3.365682,"Appelzak, 1 km uit de kust","Appelzak, 1 km uit de kust"
11687,appelzak.2kmuitdekust,ETRS89,51.385216,3.350962,"Appelzak, 2 km uit de kust","Appelzak, 2 km uit de kust"
15949,appelzak.4kmuitdekust,ETRS89,51.397999,3.329852,"Appelzak, 4 km uit de kust","Appelzak, 4 km uit de kust"
2189,arnemuiden.oranjeplaat,ETRS89,51.51661,3.70014,Arnemuiden Oranjeplaat,Arnemuiden Oranjeplaat
16725,baarland.badstrand,ETRS89,51.394415,3.898086,"Baarland, badstrand","Baarland, badstrand"
13299,badstrandburen.ameland,ETRS89,53.463349,5.809289,"Badstrand Buren, Ameland","Badstrand Buren, Ameland"
16407,badstrandhoorn.terschelling,ETRS89,53.416362,5.342075,"Badstrand Hoorn, Terschelling","Badstrand Hoorn, Terschelling"
15446,badstrandprinsbernhardweg.schiermonnikoog,ETRS89,53.503886,6.190084,"Badstrand Prins Bernhardweg, Schiermonnikoog","Badstrand Prins Bernhardweg, Schiermonnikoog"
18660,bath.badstrand,ETRS89,51.400328,4.210825,"Bath, badstrand","Bath, badstrand"
5534,bath.boei68,ETRS89,51.390355,4.206915,"Bath, boei 68","Bath, boei 68"
11051,bath.boei71,ETRS89,51.38368,4.165426,"Bath, boei 71","Bath, boei 71"
11091,bathsespuikanaal.zuid,ETRS89,51.402104,4.235643,"Bathse Spuikanaal, zuid","Bathse Spuikanaal, zuid"
7445,bazeldijk,ETRS89,51.900515,4.995334,Bazeldijk,kilometer 14.5
10726,beerenplaat.loswal,ETRS89,51.832075,4.397555,"Beerenplaat, loswal","Beerenplaat, loswal"
12693,beerkanaal.midden,ETRS89,51.975455,4.090393,"Beerkanaal, midden","Beerkanaal, midden"
18056,belfeld.boven,ETRS89,51.3189,6.1123,"Belfeld, boven","Belfeld, boven"
9566,bemmelsewaard,ETRS89,51.881669,5.8996,Bemmelse waard,Bemmelse waard
10502,bergenaanzee,ETRS89,52.660979,4.626005,Bergen aan Zee,Bergen aan Zee
13011,bergenopzoom,ETRS89,51.473894,4.243875,Bergen op Zoom,Bergen op Zoom
14447,bergsediepsluis.noord,ETRS89,51.5124,4.173062,"Bergse Diepsluis, noord",badstrand
10115,bergstoep.lek,ETRS89,51.9157822,4.7754326,"Bergstoep, Lek","Bergstoep, Lek"
7495,biddinghuizen.ellerstrand,ETRS89,52.423421,5.769785,"Biddinghuizen, Ellerstrand","Biddinghuizen, Ellerstrand"
16293,biddinghuizen.flevostrand,ETRS89,52.387439,5.637301,"Biddinghuizen, Flevostrand","Biddinghuizen, Flevostrand"
12980,biddinghuizen.harderstrand,ETRS89,52.38859,5.636926,"Biddinghuizen, Harderstrand","Biddinghuizen, Harderstrand"
4907,biddingweg,ETRS89,52.51577,5.633226,Biddingweg,Lage Vaart
1881,bijland.jachthaven,ETRS89,51.861827,6.0942,"Bijland, jachthaven","recreatieplas, kilometer 863.600"
9338,bijsselsebeek.monding,ETRS89,52.393624,5.729759,"Bijsselsebeek, monding","Bijsselsebeek, monding"
15226,binnenschelde,ETRS89,51.493506,4.251907,Binnenschelde,Binnenschelde
8290,binnenspuikanaal.1,ETRS89,52.469946,4.608883,"Binnenspuikanaal, 1","Binnenspuikanaal, 1"
2833,bisonbaai.midden,ETRS89,51.867381,5.928766,"Bisonbaai, midden",recreatieplas
5644,blaricum.strandvoorland,ETRS89,52.297694,5.29721,"Blaricum, strand Voorland","Blaricum, strand Voorland"
13199,blauweslenk.oost,ETRS89,53.224558,5.277907,"Blauwe Slenk, oost","Blauwe Slenk, oost"
12792,blauweslenk.west,ETRS89,53.230575,5.201819,"Blauwe Slenk, west","Blauwe Slenk, west"
16279,bleekersvallei,ETRS89,53.069571,4.725084,Bleekersvallei,Bleekersvallei
4795,bloemendaalaanzee,ETRS89,52.402473,4.543016,Bloemendaal aan Zee,Bloemendaal aan Zee
15558,bochtvanstjacob,ETRS89,51.684824,4.122738,Bocht van St Jacob,Bocht van St Jacob
8217,bochtvanwatum,ETRS89,53.334933,6.94394,Bocht van Watum,Bocht van Watum
14141,bochtvanwatum.midden.oost,ETRS89,53.349279,6.911343,"Bocht van Watum, midden, oost","Bocht van Watum, midden, oost"
2793,bochtvanwatum.midden.west,ETRS89,53.373636,6.904016,"Bocht van Watum, midden, west","Bocht van Watum, midden, west"
5206,bochtvanwatum.noord,ETRS89,53.404581,6.894281,"Bocht van Watum, noord","Bocht van Watum, noord"
15377,bochtvanwatum.zuid,ETRS89,53.33036,6.958336,"Bocht van Watum, zuid","Bocht van Watum, zuid"
15092,boerenplaat.badstrand,ETRS89,51.731722,4.719154,"Boerenplaat, badstrand","Boerenplaat, badstrand"
12905,bommenede,ETRS89,51.738709,3.974298,Bommenede,Grevelingen boei G22
10479,bommenede.boeigb2,ETRS89,51.733914,3.976195,"Bommenede, boei GB2","Bommenede, boei GB2"
18648,boomkensdiep,ETRS89,53.378964,5.167224,Boomkensdiep,Boomkensdiep
8010,boontjes,ETRS89,53.084869,5.33721,Boontjes,Boontjes
15668,borgharen.beneden,ETRS89,50.869845,5.6973,"Borgharen, beneden","Borgharen, beneden"
15256,borgharen.boven,ETRS89,50.868048,5.696862,"Borgharen, boven","Borgharen, boven"
3737,born,ETRS89,51.037169,5.799222,Born,Born
8169,borndiep,ETRS89,53.439163,5.601635,Borndiep,Borndiep
12930,bornrif,ETRS89,53.499272,5.52203,Bornrif,Bornrif
15981,borsselealpha,ETRS89,51.699921,3.056707,Borssele Windpark Alpha platform,Borssele Windpark Alpha platform
4714,borssele.badstrand,ETRS89,51.427267,3.715151,"Borssele, badstrand","Borssele, badstrand"
5038,borssele.noordnol,ETRS89,51.425532,3.707018,"Borssele, Noordnol","Borssele, Noordnol"
14896,boschgat,ETRS89,53.420822,5.551757,Boschgat,Boschgat
12793,boschgat.west,ETRS89,53.403357,5.503729,"Boschgat, west","Boschgat, west"
364,boschnaad.oost,ETRS89,53.497972,6.523227,"Boschnaad, oost","Boschnaad, oost"
2774,bovensluis,ETRS89,51.692464,4.493381,Bovensluis,Bovensluis
6729,braakman.havenbuitenzijdebadstrand,ETRS89,51.348929,3.731802,"Braakman, haven buitenzijde badstrand","Braakman, haven buitenzijde badstrand"
10578,brakel,ETRS89,51.826764,5.104336,Brakel,Andelse Maas
9334,breehorn,ETRS89,52.951149,4.967626,Breehorn,Breehorn
8389,breesem.boei1,ETRS89,53.116288,5.043694,"Breesem, boei 1","Breesem, boei 1"
3785,breezanddijk.binnen,ETRS89,53.016721,5.207797,"Breezanddijk, binnen","Breezanddijk, binnen"
10815,breezanddijk.buiten,ETRS89,53.020671,5.205247,"Breezanddijk, buiten","Breezanddijk, buiten"
9674,breskens.badstrand,ETRS89,51.40051,3.567371,"Breskens, badstrand","Breskens, badstrand"
17802,breskens.fortfrederikhendrik,ETRS89,51.406038,3.536431,"Breskens, Fort Frederik Hendrik","Breskens, Fort Frederik Hendrik"
8381,breskens.nieuwesluis.badstrand,ETRS89,51.404029,3.500878,"Breskens, Nieuwesluis, badstrand","Breskens, Nieuwesluis, badstrand"
17238,brielsegat,ETRS89,51.927536,4.065604,Brielse Gat,Brielse Gat
6068,brienenoord,ETRS89,51.899898,4.525587,Brienenoord,kilometer 996.5
15065,broekerhaven.recreatiepark,ETRS89,52.686781,5.256973,"Broekerhaven, recreatiepark","Broekerhaven, recreatiepark"
2671,brouwersdam.brouwershavensegat.2,ETRS89,51.766527,3.621747,Brouwersdam Brouwershavense Gat 2,Brouwersdam Brouwershavense Gat 2
12385,brouwersdam.brouwershavensegat.8,ETRS89,51.74644,3.81472,Brouwersdam Brouwershavense Gat 8,Brouwersdam Brouwershavense Gat 8
13350,brouwersdam.kabbelaarsbank,ETRS89,51.763016,3.843696,"Brouwersdam, Kabbelaarsbank","Brouwersdam, Kabbelaarsbank"
12674,brouwershaven,ETRS89,51.738431,3.903034,Brouwershaven,Brouwershaven
3387,brouwershavensche.gat.08,ETRS89,51.75075645,3.811483912,Brouwershavensche Gat 08,Brouwershavensche Gat 08
10024,bruinisse,ETRS89,51.655121,4.102756,Bruinisse,Zijpe
9471,bruinisse.binnen,ETRS89,51.667246,4.093594,"Bruinisse, binnen","Bruinisse, binnen"
18447,bruinisse.krammersluis.krammerput,ETRS89,51.666489,4.186255,Bruinisse Krammersluis krammerput,Bruinisse Krammersluis krammerput
9492,bruinisse.krammersluis.laagbekken,ETRS89,51.658109,4.160037,Bruinisse Krammersluis laagbekken,Bruinisse Krammersluis laagbekken
5563,bruinisse.krammersluis.oosterschelde.1,ETRS89,51.661389,4.155639,"Bruinisse Krammersluis sluis, Oosterschelde","Bruinisse Krammersluis sluis, Oosterschelde"
6461,bruinisse.krammersluis.oosterscheldezijde,ETRS89,51.661389,4.155639,Krammersluis Oosterscheldezijde,Krammersluis Oosterscheldezijde
3009,bruinisse.krammersluis.volkeraknoord,ETRS89,51.661806,4.16253,Bruinisse Krammersluis Volkerak Noord,Bruinisse Krammersluis Volkerak Noord
12019,bruinisse.krammersluis.volkerakzijdenoord,ETRS89,51.661806,4.16253,Krammersluis volkerakzijde noord,Krammersluis volkerakzijde noord
2193,bruinisse.krammersluis.volkerakzijdezuid,ETRS89,51.661332,4.162606,Krammersluis volkerakzijde zuid,Krammersluis volkerakzijde zuid
18046,bruinisse.krammersluis.volkerakzuid,ETRS89,51.661332,4.162606,Bruinisse Krammersluis Volkerak Zuid,Bruinisse Krammersluis Volkerak Zuid
18729,bruinisse.krammersluizen.krammernoord,ETRS89,51.67008,4.127,Bruinisse Krammersluizen Krammer Noord,Bruinisse Krammersluizen Krammer Noord
2509,bruinisse.werkhaven.badstrand,ETRS89,51.668618,4.087627,"Bruinisse, werkhaven, badstrand","Bruinisse, werkhaven, badstrand"
597,buitenbanken.west,ETRS89,51.79502,2.97225,Buitenbanken west,Buitenbanken west
5254,buitenhuizen,ETRS89,52.433277,4.722711,Buitenhuizen,kilometer 10
14055,buizerdweg,ETRS89,52.486808,5.432843,Buizerdweg,Lage Dwarsvaart
13266,burghsluis.tussen.westboutenburghsluis,ETRS89,51.67262,3.741229,"Burghsluis, tussen, westbout en Burghsluis","Burghsluis, tussen, westbout en Burghsluis"
6910,buurse,ETRS89,52.134233,6.860846,Buurse,Buurserbeek
