policy,metric,metric_agent_b,default,reduction,n_units
risk,annual_mean,annual_mean,no_fill,0.3774669811266617,270
risk,annual_mean,annual_mean,climatology,0.0217090845111275,393
gap_length,annual_mean,annual_mean,no_fill,0.3861168617887395,270
gap_length,annual_mean,annual_mean,climatology,0.1273444503741113,393
random,annual_mean,annual_mean,no_fill,0.1734169124150394,270
random,annual_mean,annual_mean,climatology,0.1280680685315752,393
risk,summer_mean,summer_mean,no_fill,0.1883225331371781,270
risk,summer_mean,summer_mean,climatology,-0.229860969726372,393
gap_length,summer_mean,summer_mean,no_fill,0.1822633544606523,270
gap_length,summer_mean,summer_mean,climatology,-0.2009282126089411,393
random,summer_mean,summer_mean,no_fill,0.0839802501212754,270
random,summer_mean,summer_mean,climatology,0.0656500352417071,393
risk,amplitude,amplitude,no_fill,0.0953327553214111,261
risk,amplitude,amplitude,climatology,-0.3383199509395231,393
gap_length,amplitude,amplitude,no_fill,0.1589569582310543,261
gap_length,amplitude,amplitude,climatology,-0.3428135662249121,393
random,amplitude,amplitude,no_fill,0.1192840022860566,261
random,amplitude,amplitude,climatology,-0.0254208781839801,393
risk,phase_doy,phase_doy,no_fill,0.116538581458026,270
risk,phase_doy,phase_doy,climatology,-0.1080161111854807,393
gap_length,phase_doy,phase_doy,no_fill,0.1090657345921436,270
gap_length,phase_doy,phase_doy,climatology,0.0202270637812207,393
random,phase_doy,phase_doy,no_fill,0.0530539366372443,270
random,phase_doy,phase_doy,climatology,0.0539051714698678,393
risk,p90,p90,no_fill,0.3067699797376852,270
risk,p90,p90,climatology,-0.1300521862180133,393
gap_length,p90,p90,no_fill,0.2899883501405765,270
gap_length,p90,p90,climatology,-0.1420770393011632,393
random,p90,p90,no_fill,0.1329327635341242,270
random,p90,p90,climatology,0.0441788018467562,393
risk,summer_max,summer_max,no_fill,0.1325336708109662,270
risk,summer_max,summer_max,climatology,0.0,393
gap_length,summer_max,summer_max,no_fill,0.1190815539318139,270
gap_length,summer_max,summer_max,climatology,0.0,393
random,summer_max,summer_max,no_fill,0.0329078547469583,270
random,summer_max,summer_max,climatology,-0.0046666666666666,393
risk,exceed_days_20,exceed_20_days,no_fill,0.3079006240433299,270
risk,exceed_days_20,exceed_20_days,climatology,-0.2216390795316916,393
gap_length,exceed_days_20,exceed_20_days,no_fill,0.239962321912163,270
gap_length,exceed_days_20,exceed_20_days,climatology,-0.3306419055308842,393
random,exceed_days_20,exceed_20_days,no_fill,0.124408336276934,270
random,exceed_days_20,exceed_20_days,climatology,0.0290896245458215,393
risk,exceed_days_25,exceed_25_days,no_fill,0.1087786259541985,270
risk,exceed_days_25,exceed_25_days,climatology,-0.4253731343283582,393
gap_length,exceed_days_25,exceed_25_days,no_fill,0.0209923664122139,270
gap_length,exceed_days_25,exceed_25_days,climatology,-0.419776119402985,393
random,exceed_days_25,exceed_25_days,no_fill,0.0355916030534352,270
random,exceed_days_25,exceed_25_days,climatology,-0.0816977611940298,393
risk,cdd10,degree_days_10,no_fill,0.394570890006743,270
risk,cdd10,degree_days_10,climatology,-0.1790171481015208,393
gap_length,cdd10,degree_days_10,no_fill,0.3441163796082238,270
gap_length,cdd10,degree_days_10,climatology,-0.1321712601414166,393
random,cdd10,degree_days_10,no_fill,0.1705315652113324,270
random,cdd10,degree_days_10,climatology,0.0713890403561491,393
risk,trend_slope,trend_slope,no_fill,0.3482309714539742,270
risk,trend_slope,trend_slope,climatology,-0.1566247083141607,393
gap_length,trend_slope,trend_slope,no_fill,0.5216863152868075,270
gap_length,trend_slope,trend_slope,climatology,-0.0637324659318832,393
random,trend_slope,trend_slope,no_fill,0.1726393768685529,270
random,trend_slope,trend_slope,climatology,-0.0197594980820073,393
